Winter period,,,,,Summer period,,,
Time from,Time to,Heat Demand,Electricity Price,,Time from,Time to,Heat Demand,Electricity Price
10/03/2024 09:00,10/03/2024 10:00,7.44,1072.23,,20/08/2024 09:00,20/08/2024 10:00,1.58,884.63
10/03/2024 10:00,10/03/2024 11:00,7.26,847.86,,20/08/2024 10:00,20/08/2024 11:00,1.68,789.60
10/03/2024 11:00,10/03/2024 12:00,7.03,740.32,,20/08/2024 11:00,20/08/2024 12:00,1.73,712.43
10/03/2024 12:00,10/03/2024 13:00,6.77,706.46,,20/08/2024 12:00,20/08/2024 13:00,1.68,669.23
10/03/2024 13:00,10/03/2024 14:00,6.72,671.18,,20/08/2024 13:00,20/08/2024 14:00,1.62,601.20
10/03/2024 14:00,10/03/2024 15:00,6.90,615.67,,20/08/2024 14:00,20/08/2024 15:00,1.51,483.53
10/03/2024 15:00,10/03/2024 16:00,7.34,608.60,,20/08/2024 15:00,20/08/2024 16:00,1.53,463.58
10/03/2024 16:00,10/03/2024 17:00,7.48,597.21,,20/08/2024 16:00,20/08/2024 17:00,1.46,472.05
10/03/2024 17:00,10/03/2024 18:00,7.45,603.39,,20/08/2024 17:00,20/08/2024 18:00,1.51,602.70
10/03/2024 18:00,10/03/2024 19:00,6.92,593.12,,20/08/2024 18:00,20/08/2024 19:00,1.55,914.78
10/03/2024 19:00,10/03/2024 20:00,6.82,578.01,,20/08/2024 19:00,20/08/2024 20:00,1.53,1241.18
10/03/2024 20:00,10/03/2024 21:00,6.78,544.08,,20/08/2024 20:00,20/08/2024 21:00,1.50,1319.18
10/03/2024 21:00,10/03/2024 22:00,6.68,527.93,,20/08/2024 21:00,20/08/2024 22:00,1.49,1350.53
10/03/2024 22:00,10/03/2024 23:00,6.56,499.20,,20/08/2024 22:00,20/08/2024 23:00,1.47,1221.90
10/03/2024 23:00,11/03/2024 00:00,6.46,334.89,,20/08/2024 23:00,21/08/2024 00:00,1.57,1002.75
11/03/2024 00:00,11/03/2024 01:00,6.35,557.82,,21/08/2024 00:00,21/08/2024 01:00,1.53,933.08
11/03/2024 01:00,11/03/2024 02:00,6.31,577.84,,21/08/2024 01:00,21/08/2024 02:00,1.54,868.05
11/03/2024 02:00,11/03/2024 03:00,6.37,576.80,,21/08/2024 02:00,21/08/2024 03:00,1.42,789.68
11/03/2024 03:00,11/03/2024 04:00,6.43,573.45,,21/08/2024 03:00,21/08/2024 04:00,1.46,755.10
11/03/2024 04:00,11/03/2024 05:00,7.04,576.58,,21/08/2024 04:00,21/08/2024 05:00,1.48,747.75
11/03/2024 05:00,11/03/2024 06:00,6.96,566.53,,21/08/2024 05:00,21/08/2024 06:00,1.56,845.55
11/03/2024 06:00,11/03/2024 07:00,6.96,580.97,,21/08/2024 06:00,21/08/2024 07:00,1.60,926.63
11/03/2024 07:00,11/03/2024 08:00,6.61,587.59,,21/08/2024 07:00,21/08/2024 08:00,1.68,940.43
11/03/2024 08:00,11/03/2024 09:00,6.82,595.41,,21/08/2024 08:00,21/08/2024 09:00,1.80,907.13
11/03/2024 09:00,11/03/2024 10:00,6.89,607.17,,21/08/2024 09:00,21/08/2024 10:00,1.78,788.25
11/03/2024 10:00,11/03/2024 11:00,6.69,612.83,,21/08/2024 10:00,21/08/2024 11:00,1.83,686.78
11/03/2024 11:00,11/03/2024 12:00,6.62,607.17,,21/08/2024 11:00,21/08/2024 12:00,1.92,489.38
11/03/2024 12:00,11/03/2024 13:00,6.50,600.03,,21/08/2024 12:00,21/08/2024 13:00,1.93,422.85
11/03/2024 13:00,11/03/2024 14:00,6.40,603.90,,21/08/2024 13:00,21/08/2024 14:00,1.91,347.93
11/03/2024 14:00,11/03/2024 15:00,6.58,609.70,,21/08/2024 14:00,21/08/2024 15:00,1.72,355.43
11/03/2024 15:00,11/03/2024 16:00,6.20,599.21,,21/08/2024 15:00,21/08/2024 16:00,1.64,434.10
11/03/2024 16:00,11/03/2024 17:00,6.29,660.25,,21/08/2024 16:00,21/08/2024 17:00,1.59,510.00
11/03/2024 17:00,11/03/2024 18:00,6.07,744.23,,21/08/2024 17:00,21/08/2024 18:00,1.53,698.40
11/03/2024 18:00,11/03/2024 19:00,6.27,832.82,,21/08/2024 18:00,21/08/2024 19:00,1.61,855.00
11/03/2024 19:00,11/03/2024 20:00,6.30,809.51,,21/08/2024 19:00,21/08/2024 20:00,1.69,1061.63
11/03/2024 20:00,11/03/2024 21:00,6.25,743.26,,21/08/2024 20:00,21/08/2024 21:00,1.65,1200.15
11/03/2024 21:00,11/03/2024 22:00,6.16,731.05,,21/08/2024 21:00,21/08/2024 22:00,1.62,1005.68
11/03/2024 22:00,11/03/2024 23:00,6.23,703.51,,21/08/2024 22:00,21/08/2024 23:00,1.56,892.50
11/03/2024 23:00,12/03/2024 00:00,6.09,706.04,,21/08/2024 23:00,22/08/2024 00:00,1.62,772.73
12/03/2024 00:00,12/03/2024 01:00,6.05,965.70,,22/08/2024 00:00,22/08/2024 01:00,1.70,738.53
12/03/2024 01:00,12/03/2024 02:00,6.05,934.21,,22/08/2024 01:00,22/08/2024 02:00,1.66,682.50
12/03/2024 02:00,12/03/2024 03:00,6.06,981.11,,22/08/2024 02:00,22/08/2024 03:00,1.62,675.00
12/03/2024 03:00,12/03/2024 04:00,6.24,949.69,,22/08/2024 03:00,22/08/2024 04:00,1.55,615.68
12/03/2024 04:00,12/03/2024 05:00,6.75,881.88,,22/08/2024 04:00,22/08/2024 05:00,1.58,580.50
12/03/2024 05:00,12/03/2024 06:00,6.74,885.08,,22/08/2024 05:00,22/08/2024 06:00,1.61,570.00
12/03/2024 06:00,12/03/2024 07:00,6.72,804.15,,22/08/2024 06:00,22/08/2024 07:00,1.66,661.65
12/03/2024 07:00,12/03/2024 08:00,6.27,864.83,,22/08/2024 07:00,22/08/2024 08:00,1.75,865.50
12/03/2024 08:00,12/03/2024 09:00,6.51,1056.90,,22/08/2024 08:00,22/08/2024 09:00,1.78,900.00
12/03/2024 09:00,12/03/2024 10:00,6.71,1004.78,,22/08/2024 09:00,22/08/2024 10:00,1.76,767.48
12/03/2024 10:00,12/03/2024 11:00,6.59,1002.18,,22/08/2024 10:00,22/08/2024 11:00,1.76,622.50
12/03/2024 11:00,12/03/2024 12:00,6.41,900.34,,22/08/2024 11:00,22/08/2024 12:00,1.94,380.78
12/03/2024 12:00,12/03/2024 13:00,6.28,790.61,,22/08/2024 12:00,22/08/2024 13:00,1.86,119.03
12/03/2024 13:00,12/03/2024 14:00,6.26,756.88,,22/08/2024 13:00,22/08/2024 14:00,1.79,96.90
12/03/2024 14:00,12/03/2024 15:00,6.53,740.73,,22/08/2024 14:00,22/08/2024 15:00,1.62,144.98
12/03/2024 15:00,12/03/2024 16:00,6.48,733.80,,22/08/2024 15:00,22/08/2024 16:00,1.55,202.73
12/03/2024 16:00,12/03/2024 17:00,6.45,877.86,,22/08/2024 16:00,22/08/2024 17:00,1.55,221.18
12/03/2024 17:00,12/03/2024 18:00,6.14,1123.45,,22/08/2024 17:00,22/08/2024 18:00,1.53,328.65
12/03/2024 18:00,12/03/2024 19:00,6.30,1247.03,,22/08/2024 18:00,22/08/2024 19:00,1.56,375.45
12/03/2024 19:00,12/03/2024 20:00,6.17,1002.63,,22/08/2024 19:00,22/08/2024 20:00,1.59,601.95
12/03/2024 20:00,12/03/2024 21:00,6.10,1002.33,,22/08/2024 20:00,22/08/2024 21:00,1.61,1043.25
12/03/2024 21:00,12/03/2024 22:00,6.09,797.16,,22/08/2024 21:00,22/08/2024 22:00,1.61,939.00
12/03/2024 22:00,12/03/2024 23:00,6.09,767.38,,22/08/2024 22:00,22/08/2024 23:00,1.67,945.08
12/03/2024 23:00,13/03/2024 00:00,6.03,734.85,,22/08/2024 23:00,23/08/2024 00:00,1.66,854.33
13/03/2024 00:00,13/03/2024 01:00,6.08,773.11,,23/08/2024 00:00,23/08/2024 01:00,1.67,786.90
13/03/2024 01:00,13/03/2024 02:00,6.18,753.01,,23/08/2024 01:00,23/08/2024 02:00,1.65,642.45
13/03/2024 02:00,13/03/2024 03:00,6.26,751.67,,23/08/2024 02:00,23/08/2024 03:00,1.60,592.50
13/03/2024 03:00,13/03/2024 04:00,6.39,766.93,,23/08/2024 03:00,23/08/2024 04:00,1.55,563.18
13/03/2024 04:00,13/03/2024 05:00,6.96,773.33,,23/08/2024 04:00,23/08/2024 05:00,1.60,570.00
13/03/2024 05:00,13/03/2024 06:00,7.09,818.15,,23/08/2024 05:00,23/08/2024 06:00,1.68,663.83
13/03/2024 06:00,13/03/2024 07:00,7.34,1170.72,,23/08/2024 06:00,23/08/2024 07:00,1.71,766.73
13/03/2024 07:00,13/03/2024 08:00,6.84,1459.72,,23/08/2024 07:00,23/08/2024 08:00,1.78,828.53
13/03/2024 08:00,13/03/2024 09:00,6.94,1505.28,,23/08/2024 08:00,23/08/2024 09:00,2.04,893.25
13/03/2024 09:00,13/03/2024 10:00,6.86,1460.61,,23/08/2024 09:00,23/08/2024 10:00,2.02,652.20
13/03/2024 10:00,13/03/2024 11:00,6.73,1290.50,,23/08/2024 10:00,23/08/2024 11:00,1.80,365.78
13/03/2024 11:00,13/03/2024 12:00,6.46,1049.67,,23/08/2024 11:00,23/08/2024 12:00,1.73,356.93
13/03/2024 12:00,13/03/2024 13:00,6.21,916.42,,23/08/2024 12:00,23/08/2024 13:00,1.72,370.43
13/03/2024 13:00,13/03/2024 14:00,6.26,893.34,,23/08/2024 13:00,23/08/2024 14:00,1.62,348.75
13/03/2024 14:00,13/03/2024 15:00,6.34,893.34,,23/08/2024 14:00,23/08/2024 15:00,1.62,348.75
13/03/2024 15:00,13/03/2024 16:00,6.66,900.78,,23/08/2024 15:00,23/08/2024 16:00,1.67,350.63
13/03/2024 16:00,13/03/2024 17:00,6.71,1118.39,,23/08/2024 16:00,23/08/2024 17:00,1.61,338.03
13/03/2024 17:00,13/03/2024 18:00,6.81,1400.01,,23/08/2024 17:00,23/08/2024 18:00,1.65,351.98
13/03/2024 18:00,13/03/2024 19:00,6.47,1651.19,,23/08/2024 18:00,23/08/2024 19:00,1.65,417.68
13/03/2024 19:00,13/03/2024 20:00,6.26,1538.03,,23/08/2024 19:00,23/08/2024 20:00,1.67,867.23
13/03/2024 20:00,13/03/2024 21:00,6.20,1398.52,,23/08/2024 20:00,23/08/2024 21:00,1.68,981.45
13/03/2024 21:00,13/03/2024 22:00,6.22,1257.52,,23/08/2024 21:00,23/08/2024 22:00,1.62,1034.18
13/03/2024 22:00,13/03/2024 23:00,6.15,1198.34,,23/08/2024 22:00,23/08/2024 23:00,1.61,972.53
13/03/2024 23:00,14/03/2024 00:00,6.19,1117.57,,23/08/2024 23:00,24/08/2024 00:00,1.70,882.90
14/03/2024 00:00,14/03/2024 01:00,6.15,1010.17,,24/08/2024 00:00,24/08/2024 01:00,1.71,757.50
14/03/2024 01:00,14/03/2024 02:00,6.33,985.59,,24/08/2024 01:00,24/08/2024 02:00,1.75,722.70
14/03/2024 02:00,14/03/2024 03:00,6.32,984.39,,24/08/2024 02:00,24/08/2024 03:00,1.66,634.13
14/03/2024 03:00,14/03/2024 04:00,6.38,984.10,,24/08/2024 03:00,24/08/2024 04:00,1.64,626.85
14/03/2024 04:00,14/03/2024 05:00,7.02,985.59,,24/08/2024 04:00,24/08/2024 05:00,1.70,700.13
14/03/2024 05:00,14/03/2024 06:00,7.21,1057.17,,24/08/2024 05:00,24/08/2024 06:00,1.78,745.13
14/03/2024 06:00,14/03/2024 07:00,7.40,1238.09,,24/08/2024 06:00,24/08/2024 07:00,1.80,855.00
14/03/2024 07:00,14/03/2024 08:00,6.92,1489.63,,24/08/2024 07:00,24/08/2024 08:00,1.78,855.00
14/03/2024 08:00,14/03/2024 09:00,7.06,1541.69,,24/08/2024 08:00,24/08/2024 09:00,1.82,778.20
14/03/2024 09:00,14/03/2024 10:00,7.02,1345.20,,24/08/2024 09:00,24/08/2024 10:00,1.90,638.03
14/03/2024 10:00,14/03/2024 11:00,7.12,1029.83,,24/08/2024 10:00,24/08/2024 11:00,1.86,597.83
14/03/2024 11:00,14/03/2024 12:00,7.08,1036.53,,24/08/2024 11:00,24/08/2024 12:00,1.88,572.93
14/03/2024 12:00,14/03/2024 13:00,7.08,970.99,,24/08/2024 12:00,24/08/2024 13:00,1.83,553.50
14/03/2024 13:00,14/03/2024 14:00,7.00,934.12,,24/08/2024 13:00,24/08/2024 14:00,1.76,523.88
14/03/2024 14:00,14/03/2024 15:00,6.64,945.44,,24/08/2024 14:00,24/08/2024 15:00,1.63,563.48
14/03/2024 15:00,14/03/2024 16:00,7.09,985.59,,24/08/2024 15:00,24/08/2024 16:00,1.57,582.75
14/03/2024 16:00,14/03/2024 17:00,7.07,1137.39,,24/08/2024 16:00,24/08/2024 17:00,1.55,581.63
14/03/2024 17:00,14/03/2024 18:00,7.03,1346.76,,24/08/2024 17:00,24/08/2024 18:00,1.54,730.95
14/03/2024 18:00,14/03/2024 19:00,6.53,1489.63,,24/08/2024 18:00,24/08/2024 19:00,1.56,864.38
14/03/2024 19:00,14/03/2024 20:00,6.38,1437.34,,24/08/2024 19:00,24/08/2024 20:00,1.56,1051.43
14/03/2024 20:00,14/03/2024 21:00,6.51,1309.52,,24/08/2024 20:00,24/08/2024 21:00,1.59,1049.40
14/03/2024 21:00,14/03/2024 22:00,6.34,1192.43,,24/08/2024 21:00,24/08/2024 22:00,1.57,929.40
14/03/2024 22:00,14/03/2024 23:00,6.41,1124.95,,24/08/2024 22:00,24/08/2024 23:00,1.55,714.38
14/03/2024 23:00,15/03/2024 00:00,6.35,1055.68,,24/08/2024 23:00,25/08/2024 00:00,1.62,607.05
